Date,Open,High,Low,Close,Volume,Average
2024/8/30 08:46,22320,22335,22310,22310,1214,22310.0
2024/8/30 08:47,22312,22321,22281,22304,691,22307.823622047243
2024/8/30 08:48,22302,22308,22296,22300,241,22306.945013979497
2024/8/30 08:49,22300,22305,22296,22297,169,22306.21900647948
2024/8/30 08:50,22297,22304,22292,22297,193,22305.50956937799
2024/8/30 08:51,22295,22307,22289,22296,227,22304.72029250457
2024/8/30 08:52,22296,22297,22285,22288,247,22303.33534540577
2024/8/30 08:53,22288,22291,22280,22291,205,22302.54188892375
2024/8/30 08:54,22290,22297,22287,22293,102,22302.245971419885
2024/8/30 08:55,22293,22295,22287,22290,84,22301.941002075302
2024/8/30 08:56,22290,22296,22284,22293,137,22301.59202279202
2024/8/30 08:57,22294,22294,22285,22285,94,22301.159267480576
2024/8/30 08:58,22286,22302,22284,22289,184,22300.56863780359
2024/8/30 08:59,22288,22290,22281,22281,174,22299.709237758707
2024/8/30 09:00,22281,22283,22268,22269,289,22297.621500823334
2024/8/30 09:01,22268,22294,22264,22293,670,22296.992277992278
2024/8/30 09:02,22293,22301,22283,22296,510,22296.89909777205
2024/8/30 09:03,22296,22302,22289,22300,300,22297.06142034549
2024/8/30 09:04,22302,22302,22290,22294,284,22296.916874480467
2024/8/30 09:05,22293,22293,22276,22285,346,22296.268668448356
2024/8/30 09:06,22286,22310,22280,22303,527,22296.783681765388
2024/8/30 09:07,22303,22304,22286,22288,185,22296.553937508837
2024/8/30 09:08,22289,22289,22262,22269,532,22294.626429980275
2024/8/30 09:09,22270,22275,22259,22273,331,22293.7244203629
2024/8/30 09:10,22274,22276,22254,22261,387,22292.202811486244
2024/8/30 09:11,22261,22270,22252,22254,375,22290.555759944815
2024/8/30 09:12,22254,22264,22252,22260,260,22289.668899307882
2024/8/30 09:13,22261,22265,22248,22252,417,22287.993386666665
2024/8/30 09:14,22251,22262,22247,22253,222,22287.183911639055
2024/8/30 09:15,22251,22257,22243,22245,229,22286.200793812335
2024/8/30 09:16,22247,22247,22236,22238,560,22283.601867899095
2024/8/30 09:17,22237,22262,22234,22260,597,22282.318947464264
2024/8/30 09:18,22262,22263,22250,22262,274,22281.824375943856
2024/8/30 09:19,22262,22263,22245,22247,223,22281.147909407664
2024/8/30 09:20,22247,22258,22241,22257,177,22280.781247319206
2024/8/30 09:21,22256,22261,22250,22259,144,22280.51546479112
2024/8/30 09:22,22260,22260,22242,22245,154,22280.057967377667
2024/8/30 09:23,22247,22253,22234,22242,368,22278.921447699424
2024/8/30 09:24,22242,22245,22232,22233,239,22278.047763095048
2024/8/30 09:25,22234,22242,22230,22236,265,22277.179075387852
2024/8/30 09:26,22238,22250,22231,22247,364,22276.34629671746
2024/8/30 09:27,22246,22246,22228,22231,250,22275.50286437021
2024/8/30 09:28,22231,22235,22225,22231,269,22274.62968636032
2024/8/30 09:29,22230,22234,22225,22228,169,22274.06189206715
2024/8/30 09:30,22229,22231,22218,22224,448,22272.496475186712
2024/8/30 09:31,22223,22230,22219,22223,269,22271.584269662922
2024/8/30 09:32,22223,22235,22222,22229,209,22270.9831138129
2024/8/30 09:33,22228,22256,22225,22242,641,22269.780331477406
2024/8/30 09:34,22240,22244,22231,22239,261,22269.26886101738
2024/8/30 09:35,22240,22250,22239,22244,192,22268.963708409334
2024/8/30 09:36,22243,22259,22239,22257,303,22268.739970374027
2024/8/30 09:37,22257,22266,22250,22252,356,22268.380057978018
2024/8/30 09:38,22251,22265,22250,22263,189,22268.319340777452
2024/8/30 09:39,22264,22281,22264,22277,613,22268.6258640553
2024/8/30 09:40,22276,22281,22268,22279,291,22268.796895360036
2024/8/30 09:41,22280,22280,22267,22269,196,22268.79912590351
2024/8/30 09:42,22270,22281,22264,22274,181,22268.851342356334
2024/8/30 09:43,22273,22286,22273,22281,228,22269.003067484664
2024/8/30 09:44,22280,22285,22276,22278,172,22269.08704145865
2024/8/30 09:45,22279,22282,22269,22273,167,22269.12218338263
2024/8/30 09:46,22273,22279,22261,22278,273,22269.250635997458
2024/8/30 09:47,22278,22293,22278,22289,477,22269.737606616698
2024/8/30 09:48,22289,22290,22268,22270,216,22269.740504064208
2024/8/30 09:49,22271,22271,22253,22253,349,22269.447061778003
2024/8/30 09:50,22253,22271,22247,22271,391,22269.476971577755
2024/8/30 09:51,22271,22278,22270,22278,139,22269.53493150685
2024/8/30 09:52,22276,22279,22265,22276,159,22269.584834215253
2024/8/30 09:53,22276,22286,22267,22286,159,22269.710569419018
2024/8/30 09:54,22285,22289,22283,22288,145,22269.83743960197
2024/8/30 09:55,22287,22288,22273,22274,123,22269.86179016456
2024/8/30 09:56,22275,22281,22272,22274,62,22269.873956752657
2024/8/30 09:57,22272,22278,22265,22266,157,22269.845328312545
2024/8/30 09:58,22267,22271,22262,22265,166,22269.80776236514
2024/8/30 09:59,22266,22266,22258,22263,126,22269.767934252683
2024/8/30 10:00,22264,22265,22259,22262,83,22269.738112858464
2024/8/30 10:01,22265,22272,22258,22259,146,22269.666084719287
2024/8/30 10:02,22261,22264,22255,22262,138,22269.617786705625
2024/8/30 10:03,22262,22265,22251,22260,121,22269.56494892168
