Date,Open,High,Low,Close,Volume,strength,Average
2025/06/03 08:46,21034.0,21055.0,21012.0,21043.0,1215,-8.0,21040.0
2025/06/03 08:47,21042.0,21055.0,21033.0,21044.0,548,60.0,21041.0
2025/06/03 08:48,21044.0,21060.0,21044.0,21048.0,394,136.0,21043.0
2025/06/03 08:49,21048.0,21061.0,21040.0,21061.0,287,258.0,21043.0
2025/06/03 08:50,21062.0,21072.0,21061.0,21070.0,252,424.0,21046.0
2025/06/03 08:51,21072.0,21079.0,21066.0,21073.0,329,346.0,21049.0
2025/06/03 08:52,21073.0,21073.0,21060.0,21060.0,155,288.0,21050.0
2025/06/03 08:53,21061.0,21071.0,21057.0,21069.0,136,304.0,21050.0
2025/06/03 08:54,21070.0,21070.0,21063.0,21067.0,66,287.0,21050.0
2025/06/03 08:55,21066.0,21068.0,21055.0,21057.0,120,181.0,21051.0
2025/06/03 08:56,21055.0,21062.0,21050.0,21060.0,123,161.0,21051.0
2025/06/03 08:57,21060.0,21070.0,21055.0,21069.0,93,170.0,21051.0
2025/06/03 08:58,21068.0,21082.0,21061.0,21077.0,234,312.0,21053.0
2025/06/03 08:59,21075.0,21089.0,21066.0,21089.0,248,488.0,21055.0
2025/06/03 09:00,21089.0,21095.0,21064.0,21070.0,248,463.0,21056.0
2025/06/03 09:01,21071.0,21089.0,21064.0,21075.0,485,487.0,21058.0
2025/06/03 09:02,21073.0,21099.0,21071.0,21096.0,539,662.0,21061.0
2025/06/03 09:03,21097.0,21098.0,21079.0,21088.0,400,700.0,21063.0
2025/06/03 09:04,21088.0,21113.0,21068.0,21073.0,1077,905.0,21068.0
2025/06/03 09:05,21072.0,21086.0,21070.0,21082.0,338,930.0,21068.0
2025/06/03 09:06,21079.0,21088.0,21070.0,21088.0,389,1008.0,21069.0
2025/06/03 09:07,21087.0,21137.0,21083.0,21131.0,1223,1710.0,21075.0
2025/06/03 09:08,21131.0,21138.0,21118.0,21122.0,499,1669.0,21078.0
