Date,Open,High,Low,Close,Volume
2023/12/14 08:45,17608,17613,17602,17613,2270
2023/12/14 08:46,17613,17614,17603,17613,1131
2023/12/14 08:47,17614,17623,17610,17622,909
2023/12/14 08:48,17623,17635,17622,17631,1064
2023/12/14 08:49,17632,17636,17632,17636,558
2023/12/14 08:50,17636,17639,17634,17636,491
2023/12/14 08:51,17638,17652,17636,17650,1097
2023/12/14 08:52,17649,17651,17645,17646,408
2023/12/14 08:53,17645,17649,17645,17648,245
2023/12/14 08:54,17649,17653,17648,17651,370
2023/12/14 08:55,17652,17654,17651,17653,268
2023/12/14 08:56,17653,17655,17648,17649,339
2023/12/14 08:57,17649,17654,17649,17649,248
2023/12/14 08:58,17649,17650,17645,17646,321
2023/12/14 08:59,17647,17650,17643,17650,425
2023/12/14 09:00,17650,17652,17634,17636,1240
2023/12/14 09:01,17637,17643,17632,17641,611
2023/12/14 09:02,17639,17641,17627,17627,877
2023/12/14 09:03,17627,17630,17618,17625,982
2023/12/14 09:04,17625,17626,17610,17613,956
2023/12/14 09:05,17613,17620,17608,17620,708
2023/12/14 09:06,17620,17625,17614,17614,518
2023/12/14 09:07,17614,17619,17609,17617,584
2023/12/14 09:08,17617,17620,17613,17616,394
2023/12/14 09:09,17615,17616,17604,17607,947
2023/12/14 09:10,17607,17608,17595,17606,1445
2023/12/14 09:11,17605,17622,17605,17619,879
2023/12/14 09:12,17619,17622,17613,17617,332
2023/12/14 09:13,17618,17621,17615,17620,254
2023/12/14 09:14,17619,17623,17617,17619,327
2023/12/14 09:15,17619,17627,17618,17627,593
2023/12/14 09:16,17626,17631,17625,17625,524
2023/12/14 09:17,17625,17627,17621,17621,241
2023/12/14 09:18,17621,17622,17611,17613,455
2023/12/14 09:19,17613,17632,17613,17632,458
2023/12/14 09:20,17631,17636,17628,17635,592
2023/12/14 09:21,17634,17644,17632,17635,1023
2023/12/14 09:22,17634,17637,17629,17636,501
2023/12/14 09:23,17637,17648,17636,17647,818
2023/12/14 09:24,17646,17651,17643,17651,826
2023/12/14 09:25,17651,17661,17648,17657,1806
2023/12/14 09:26,17656,17658,17647,17653,464
2023/12/14 09:27,17653,17655,17646,17653,488
2023/12/14 09:28,17653,17659,17652,17652,384
