Date,Open,High,Low,Close,Volume,strength,largeorder,score,Average
2025/07/08 08:46,22353.0,22397.0,22350.0,22361.0,2350,,,,22370.0
2025/07/08 08:47,22359.0,22369.0,22338.0,22338.0,835,,,,22370.0
2025/07/08 08:48,22339.0,22340.0,22307.0,22321.0,589,,,,22370.0
2025/07/08 08:49,22322.0,22334.0,22317.0,22317.0,312,,,,22370.0
2025/07/08 08:50,22319.0,22335.0,22319.0,22328.0,236,,,,22370.0
2025/07/08 08:51,22329.0,22331.0,22300.0,22304.0,444,,,,22370.0
2025/07/08 08:52,22305.0,22318.0,22305.0,22316.0,176,,,,22370.0
2025/07/08 08:53,22317.0,22321.0,22315.0,22319.0,165,,,,22370.0
2025/07/08 08:54,22319.0,22321.0,22309.0,22318.0,207,,,,22370.0
2025/07/08 08:55,22320.0,22328.0,22310.0,22318.0,210,,,,22370.0
2025/07/08 08:56,22316.0,22324.0,22306.0,22307.0,289,,,,22370.0
2025/07/08 08:57,22307.0,22310.0,22294.0,22299.0,394,,,,22370.0
2025/07/08 08:58,22298.0,22316.0,22298.0,22314.0,213,,,,22370.0
2025/07/08 08:59,22312.0,22313.0,22292.0,22295.0,136,,,,22370.0
2025/07/08 09:00,22293.0,22299.0,22284.0,22285.0,320,,,,22370.0
2025/07/08 09:01,22288.0,22307.0,22278.0,22284.0,894,329.0,-2244.0,-37.0,22324.0
2025/07/08 09:02,22283.0,22291.0,22252.0,22262.0,1258,336.0,-2267.0,-37.0,22323.0
2025/07/08 09:03,22265.0,22268.0,22250.0,22259.0,335,286.0,-2242.0,-40.0,22321.0
2025/07/08 09:04,22260.0,22260.0,22230.0,22244.0,643,-32.0,-2307.0,-51.0,22315.0
2025/07/08 09:05,22243.0,22247.0,22227.0,22233.0,439,-104.0,-2300.0,-52.0,22312.0
2025/07/08 09:06,22233.0,22254.0,22233.0,22240.0,521,-100.0,-2243.0,-49.0,22309.0
2025/07/08 09:07,22237.0,22243.0,22222.0,22227.0,446,-308.0,-2430.0,-62.0,22306.0
2025/07/08 09:08,22226.0,22245.0,22223.0,22245.0,247,-222.0,-2044.0,-51.0,22304.0
2025/07/08 09:09,22245.0,22255.0,22241.0,22252.0,277,-201.0,-1983.0,-49.0,22304.0
2025/07/08 09:10,22251.0,22252.0,22237.0,22240.0,173,-272.0,-2080.0,-51.0,22303.0
2025/07/08 09:11,22240.0,22245.0,22229.0,22231.0,233,-354.0,-2158.0,-56.0,22301.0
2025/07/08 09:12,22230.0,22233.0,22216.0,22220.0,494,-613.0,-2323.0,-69.0,22298.0
2025/07/08 09:13,22218.0,22243.0,22217.0,22238.0,248,-545.0,-2233.0,-64.0,22297.0
2025/07/08 09:14,22239.0,22244.0,22233.0,22236.0,230,-505.0,-2230.0,-64.0,22296.0
2025/07/08 09:15,22236.0,22238.0,22226.0,22230.0,147,-484.0,-2260.0,-61.0,22295.0
2025/07/08 09:16,22234.0,22252.0,22233.0,22241.0,432,-376.0,-2208.0,-58.0,22294.0
2025/07/08 09:17,22239.0,22244.0,22232.0,22244.0,123,-406.0,-2102.0,-59.0,22293.0
2025/07/08 09:18,22243.0,22256.0,22241.0,22251.0,258,-415.0,-2070.0,-57.0,22293.0
2025/07/08 09:19,22250.0,22263.0,22248.0,22259.0,303,-350.0,-1922.0,-52.0,22292.0
2025/07/08 09:20,22261.0,22276.0,22260.0,22273.0,489,-160.0,-1806.0,-44.0,22291.0
2025/07/08 09:21,22273.0,22284.0,22260.0,22280.0,542,-79.0,-1775.0,-39.0,22291.0
2025/07/08 09:22,22281.0,22304.0,22277.0,22299.0,671,212.0,-1707.0,-30.0,22291.0
2025/07/08 09:23,22300.0,22301.0,22289.0,22291.0,309,258.0,-1753.0,-30.0,22291.0
2025/07/08 09:24,22293.0,22299.0,22285.0,22285.0,257,231.0,-1819.0,-32.0,22291.0
2025/07/08 09:25,22289.0,22296.0,22258.0,22261.0,539,70.0,-2136.0,-44.0,22290.0
2025/07/08 09:26,22261.0,22265.0,22255.0,22257.0,292,64.0,-2261.0,-46.0,22290.0
2025/07/08 09:27,22257.0,22264.0,22243.0,22247.0,314,-87.0,-2298.0,-49.0,22289.0
2025/07/08 09:28,22245.0,22256.0,22242.0,22249.0,192,-150.0,-2352.0,-54.0,22289.0
2025/07/08 09:29,22248.0,22257.0,22245.0,22256.0,238,-177.0,-2178.0,-50.0,22288.0
2025/07/08 09:30,22255.0,22260.0,22252.0,22253.0,122,-232.0,-2284.0,-55.0,22288.0
2025/07/08 09:31,22251.0,22258.0,22244.0,22258.0,234,-282.0,-2437.0,-59.0,22287.0
2025/07/08 09:32,22255.0,22263.0,22249.0,22262.0,176,-244.0,-2252.0,-55.0,22287.0
2025/07/08 09:33,22259.0,22265.0,22246.0,22247.0,232,-460.0,-2647.0,-69.0,22286.0
2025/07/08 09:34,22245.0,22247.0,22227.0,22243.0,515,-549.0,-2524.0,-70.0,22285.0
2025/07/08 09:35,22244.0,22247.0,22238.0,22242.0,138,-542.0,-2498.0,-68.0,22285.0
2025/07/08 09:36,22239.0,22253.0,22239.0,22243.0,131,-552.0,-2457.0,-68.0,22285.0
2025/07/08 09:37,22245.0,22247.0,22235.0,22238.0,157,-592.0,-2573.0,-70.0,22285.0
2025/07/08 09:38,22236.0,22245.0,22231.0,22234.0,94,-602.0,-2634.0,-75.0,22284.0
2025/07/08 09:39,22234.0,22238.0,22224.0,22226.0,164,-760.0,-2745.0,-80.0,22284.0
2025/07/08 09:40,22228.0,22234.0,22222.0,22225.0,211,-856.0,-2726.0,-83.0,22283.0
