Date,Open,High,Low,Close,Volume
2024/8/27 08:46,22112,22125,22102,22104,953
2024/8/27 08:47,22102,22103,22080,22087,889
2024/8/27 08:48,22088,22096,22081,22085,234
2024/8/27 08:49,22083,22085,22064,22068,470
2024/8/27 08:50,22067,22072,22063,22069,187
2024/8/27 08:51,22070,22071,22063,22063,222
2024/8/27 08:52,22065,22075,22056,22058,271
2024/8/27 08:53,22059,22061,22045,22058,436
2024/8/27 08:54,22058,22068,22056,22061,173
2024/8/27 08:55,22060,22062,22053,22060,88
2024/8/27 08:56,22059,22062,22052,22053,98
2024/8/27 08:57,22054,22063,22047,22057,204
2024/8/27 08:58,22058,22065,22056,22062,132
2024/8/27 08:59,22061,22066,22054,22060,153
2024/8/27 09:00,22061,22065,22049,22054,195
2024/8/27 09:01,22055,22058,22025,22055,1281
2024/8/27 09:02,22055,22055,22016,22029,750
2024/8/27 09:03,22029,22044,22022,22043,330
2024/8/27 09:04,22042,22057,22038,22052,384
2024/8/27 09:05,22051,22075,22049,22060,462
2024/8/27 09:06,22060,22066,22053,22058,260
2024/8/27 09:07,22057,22078,22046,22075,500
2024/8/27 09:08,22076,22080,22056,22057,371
2024/8/27 09:09,22058,22063,22045,22060,364
2024/8/27 09:10,22059,22059,22034,22039,362
2024/8/27 09:11,22038,22046,22033,22046,227
2024/8/27 09:12,22046,22050,22028,22031,288
2024/8/27 09:13,22033,22047,22027,22045,261
2024/8/27 09:14,22044,22044,22022,22031,294
2024/8/27 09:15,22031,22032,22017,22025,348
2024/8/27 09:16,22025,22041,22022,22039,427
2024/8/27 09:17,22038,22057,22034,22053,390
2024/8/27 09:18,22053,22059,22047,22049,212
2024/8/27 09:19,22046,22065,22041,22064,285
2024/8/27 09:20,22062,22071,22058,22071,244
2024/8/27 09:21,22070,22071,22058,22066,251
2024/8/27 09:22,22066,22068,22057,22061,135
2024/8/27 09:23,22059,22077,22053,22070,289
2024/8/27 09:24,22070,22073,22051,22052,284
2024/8/27 09:25,22054,22054,22034,22043,333
2024/8/27 09:26,22042,22048,22039,22044,141
2024/8/27 09:27,22045,22050,22041,22049,103
2024/8/27 09:28,22050,22063,22048,22062,177
2024/8/27 09:29,22062,22064,22051,22055,176
2024/8/27 09:30,22059,22066,22046,22048,197
2024/8/27 09:31,22049,22051,22037,22041,366
2024/8/27 09:32,22040,22041,22020,22029,543
2024/8/27 09:33,22029,22032,22006,22031,844
2024/8/27 09:34,22032,22032,22002,22005,802
2024/8/27 09:35,22003,22011,21998,22006,431
2024/8/27 09:36,22005,22026,22003,22024,277
2024/8/27 09:37,22021,22049,22019,22045,535
2024/8/27 09:38,22045,22084,22041,22077,1009
2024/8/27 09:39,22075,22093,22066,22069,748
2024/8/27 09:40,22069,22072,22062,22067,225
2024/8/27 09:41,22067,22073,22055,22063,269
2024/8/27 09:42,22061,22072,22059,22072,143
2024/8/27 09:43,22073,22079,22071,22072,168
2024/8/27 09:44,22072,22079,22069,22070,134
2024/8/27 09:45,22072,22091,22066,22076,408
2024/8/27 09:46,22079,22081,22067,22071,217
2024/8/27 09:47,22073,22086,22073,22082,174
2024/8/27 09:48,22084,22097,22077,22096,261
2024/8/27 09:49,22093,22096,22079,22084,233
2024/8/27 09:50,22083,22097,22081,22087,164
2024/8/27 09:51,22089,22105,22084,22089,506
2024/8/27 09:52,22090,22101,22089,22098,118
2024/8/27 09:53,22096,22116,22095,22109,370
2024/8/27 09:54,22110,22149,22110,22146,1557
2024/8/27 09:55,22147,22162,22145,22152,835
2024/8/27 09:56,22152,22166,22152,22161,592
2024/8/27 09:57,22160,22163,22146,22147,374
2024/8/27 09:58,22147,22150,22137,22143,323
2024/8/27 09:59,22142,22143,22130,22131,255
2024/8/27 10:00,22133,22135,22114,22114,401
2024/8/27 10:01,22114,22115,22084,22096,1025
2024/8/27 10:02,22096,22096,22085,22089,255
2024/8/27 10:03,22090,22091,22074,22076,488
2024/8/27 10:04,22075,22094,22074,22087,224
