date,datetime,open,high,low,close,volume,conditions
20230801,2023-08-01 08:45:00,17160.0,17197.0,17158.0,17184.0,2407.0,long_red_candle
20230801,2023-08-01 09:00:00,17171.0,17186.0,17170.0,17180.0,551.0,volume_spike
20230801,2023-08-01 09:01:00,17180.0,17194.0,17175.0,17193.0,1004.0,volume_spike
20230801,2023-08-01 09:16:00,17208.0,17218.0,17197.0,17202.0,994.0,breakout
20230801,2023-08-01 09:27:00,17159.0,17177.0,17157.0,17174.0,642.0,long_red_candle
20230801,2023-08-01 09:38:00,17092.0,17118.0,17090.0,17112.0,1016.0,long_red_candle
20230801,2023-08-01 09:49:00,17132.0,17153.0,17129.0,17150.0,989.0,long_red_candle
20230801,2023-08-01 09:59:00,17123.0,17138.0,17122.0,17138.0,383.0,long_red_candle
20230801,2023-08-01 10:04:00,17145.0,17163.0,17144.0,17162.0,934.0,"long_red_candle, volume_spike, breakout"
20230801,2023-08-01 10:05:00,17160.0,17165.0,17153.0,17156.0,562.0,breakout
20230801,2023-08-01 10:06:00,17156.0,17169.0,17155.0,17160.0,432.0,breakout
20230801,2023-08-01 10:23:00,17161.0,17171.0,17159.0,17169.0,438.0,breakout
20230801,2023-08-01 10:24:00,17169.0,17175.0,17168.0,17171.0,379.0,breakout
20230801,2023-08-01 10:26:00,17173.0,17185.0,17172.0,17184.0,691.0,breakout
20230801,2023-08-01 10:27:00,17185.0,17190.0,17184.0,17189.0,677.0,breakout
20230801,2023-08-01 11:14:00,17137.0,17152.0,17137.0,17151.0,453.0,"volume_spike, breakout"
20230801,2023-08-01 11:16:00,17144.0,17155.0,17143.0,17153.0,287.0,breakout
20230801,2023-08-01 11:21:00,17147.0,17157.0,17147.0,17153.0,244.0,breakout
20230801,2023-08-01 11:22:00,17155.0,17158.0,17150.0,17158.0,156.0,breakout
20230801,2023-08-01 11:23:00,17157.0,17161.0,17155.0,17155.0,295.0,breakout
20230801,2023-08-01 11:25:00,17158.0,17162.0,17153.0,17155.0,308.0,breakout
20230801,2023-08-01 11:44:00,17144.0,17150.0,17144.0,17150.0,164.0,volume_spike
20230801,2023-08-01 11:52:00,17157.0,17164.0,17153.0,17164.0,204.0,breakout
20230801,2023-08-01 11:53:00,17165.0,17165.0,17157.0,17157.0,177.0,breakout
20230801,2023-08-01 11:55:00,17162.0,17166.0,17161.0,17163.0,121.0,breakout
20230801,2023-08-01 11:56:00,17164.0,17170.0,17164.0,17170.0,154.0,breakout
20230801,2023-08-01 11:57:00,17169.0,17172.0,17167.0,17167.0,182.0,breakout
20230801,2023-08-01 12:00:00,17167.0,17177.0,17167.0,17175.0,295.0,"volume_spike, breakout"
20230801,2023-08-01 12:01:00,17176.0,17180.0,17175.0,17175.0,223.0,breakout
20230801,2023-08-01 12:09:00,17173.0,17182.0,17172.0,17182.0,472.0,"volume_spike, breakout"
20230801,2023-08-01 12:10:00,17183.0,17188.0,17180.0,17185.0,324.0,breakout
20230801,2023-08-01 12:17:00,17185.0,17189.0,17184.0,17184.0,181.0,breakout
20230801,2023-08-01 12:25:00,17183.0,17192.0,17183.0,17192.0,344.0,"volume_spike, breakout"
20230801,2023-08-01 12:26:00,17192.0,17193.0,17172.0,17172.0,287.0,breakout
20230801,2023-08-01 12:59:00,17182.0,17183.0,17180.0,17182.0,178.0,volume_spike
20230801,2023-08-01 13:00:00,17182.0,17187.0,17182.0,17186.0,199.0,breakout
20230801,2023-08-01 13:01:00,17186.0,17193.0,17184.0,17191.0,459.0,"volume_spike, breakout"
20230801,2023-08-01 13:03:00,17192.0,17196.0,17191.0,17195.0,346.0,breakout
20230801,2023-08-01 13:04:00,17196.0,17198.0,17195.0,17195.0,183.0,breakout
20230801,2023-08-01 13:05:00,17197.0,17202.0,17193.0,17201.0,373.0,breakout
20230801,2023-08-01 13:06:00,17201.0,17205.0,17200.0,17200.0,399.0,breakout
20230801,2023-08-01 13:25:00,17180.0,17181.0,17174.0,17175.0,302.0,volume_spike
20230801,2023-08-01 13:41:00,17185.0,17188.0,17180.0,17181.0,374.0,volume_spike
20230802,2023-08-02 08:45:00,17093.0,17114.0,17086.0,17110.0,1879.0,long_red_candle
20230802,2023-08-02 09:00:00,17129.0,17134.0,17124.0,17128.0,942.0,volume_spike
20230802,2023-08-02 09:19:00,17132.0,17147.0,17131.0,17147.0,416.0,long_red_candle
20230802,2023-08-02 09:20:00,17146.0,17157.0,17145.0,17151.0,864.0,breakout
20230802,2023-08-02 09:21:00,17151.0,17162.0,17148.0,17160.0,644.0,breakout
20230802,2023-08-02 09:30:00,17125.0,17132.0,17116.0,17119.0,907.0,volume_spike
20230802,2023-08-02 09:48:00,17123.0,17124.0,17113.0,17117.0,818.0,volume_spike
20230802,2023-08-02 09:54:00,17104.0,17105.0,17077.0,17082.0,1592.0,volume_spike
20230802,2023-08-02 10:03:00,17050.0,17065.0,17047.0,17065.0,741.0,long_red_candle
20230802,2023-08-02 10:11:00,17046.0,17046.0,17032.0,17034.0,1262.0,volume_spike
20230802,2023-08-02 10:23:00,17025.0,17026.0,16990.0,16990.0,1406.0,volume_spike
20230802,2023-08-02 10:24:00,16991.0,16991.0,16967.0,16970.0,1593.0,volume_spike
20230802,2023-08-02 10:34:00,16900.0,16920.0,16900.0,16918.0,754.0,long_red_candle
20230802,2023-08-02 10:45:00,16908.0,16914.0,16891.0,16893.0,1388.0,volume_spike
20230802,2023-08-02 10:46:00,16894.0,16895.0,16865.0,16869.0,1553.0,volume_spike
20230802,2023-08-02 10:48:00,16864.0,16882.0,16855.0,16880.0,1274.0,long_red_candle
20230802,2023-08-02 10:56:00,16907.0,16923.0,16905.0,16923.0,970.0,long_red_candle
20230802,2023-08-02 11:16:00,16901.0,16901.0,16879.0,16883.0,867.0,volume_spike
20230802,2023-08-02 11:24:00,16888.0,16889.0,16877.0,16880.0,428.0,volume_spike
20230802,2023-08-02 11:25:00,16880.0,16881.0,16866.0,16868.0,557.0,volume_spike
20230802,2023-08-02 11:45:00,16878.0,16882.0,16873.0,16876.0,370.0,volume_spike
20230802,2023-08-02 11:46:00,16876.0,16876.0,16865.0,16867.0,404.0,volume_spike
20230802,2023-08-02 11:47:00,16867.0,16869.0,16861.0,16867.0,591.0,volume_spike
20230802,2023-08-02 11:52:00,16862.0,16866.0,16848.0,16865.0,894.0,volume_spike
20230802,2023-08-02 12:10:00,16858.0,16860.0,16846.0,16853.0,471.0,volume_spike
20230802,2023-08-02 12:21:00,16849.0,16849.0,16842.0,16845.0,469.0,volume_spike
20230802,2023-08-02 12:52:00,16841.0,16849.0,16840.0,16847.0,475.0,volume_spike
20230802,2023-08-02 12:53:00,16849.0,16860.0,16849.0,16860.0,492.0,breakout
20230802,2023-08-02 13:01:00,16838.0,16839.0,16828.0,16833.0,590.0,volume_spike
20230802,2023-08-02 13:03:00,16832.0,16832.0,16814.0,16821.0,917.0,volume_spike
20230802,2023-08-02 13:35:00,16831.0,16841.0,16831.0,16832.0,763.0,breakout
20230802,2023-08-02 13:37:00,16839.0,16846.0,16839.0,16843.0,516.0,breakout
20230802,2023-08-02 13:38:00,16843.0,16847.0,16842.0,16846.0,294.0,breakout
20230802,2023-08-02 13:39:00,16846.0,16854.0,16845.0,16851.0,686.0,breakout
20230804,2023-08-04 08:45:00,16720.0,16742.0,16715.0,16742.0,2601.0,long_red_candle
20230804,2023-08-04 08:46:00,16742.0,16759.0,16742.0,16759.0,1412.0,long_red_candle
20230804,2023-08-04 08:51:00,16742.0,16758.0,16741.0,16758.0,352.0,long_red_candle
20230804,2023-08-04 09:00:00,16777.0,16788.0,16775.0,16781.0,1615.0,volume_spike
20230804,2023-08-04 09:04:00,16747.0,16771.0,16742.0,16763.0,953.0,long_red_candle
20230804,2023-08-04 09:36:00,16782.0,16806.0,16781.0,16804.0,1304.0,"long_red_candle, breakout"
20230804,2023-08-04 09:39:00,16797.0,16808.0,16794.0,16806.0,429.0,breakout
20230804,2023-08-04 09:41:00,16805.0,16814.0,16805.0,16809.0,731.0,breakout
20230804,2023-08-04 09:57:00,16778.0,16794.0,16776.0,16794.0,481.0,long_red_candle
20230804,2023-08-04 10:00:00,16804.0,16819.0,16803.0,16816.0,1022.0,"volume_spike, breakout"
20230804,2023-08-04 10:01:00,16817.0,16835.0,16815.0,16835.0,1143.0,"long_red_candle, breakout"
20230804,2023-08-04 10:20:00,16790.0,16806.0,16790.0,16805.0,317.0,long_red_candle
20230804,2023-08-04 10:41:00,16825.0,16833.0,16824.0,16825.0,438.0,breakout
20230804,2023-08-04 10:49:00,16830.0,16837.0,16828.0,16835.0,521.0,breakout
20230804,2023-08-04 10:52:00,16832.0,16838.0,16832.0,16837.0,206.0,breakout
20230804,2023-08-04 10:53:00,16836.0,16839.0,16833.0,16834.0,243.0,breakout
20230804,2023-08-04 10:56:00,16828.0,16840.0,16827.0,16840.0,299.0,breakout
20230804,2023-08-04 10:57:00,16839.0,16846.0,16838.0,16844.0,476.0,breakout
20230804,2023-08-04 10:58:00,16845.0,16847.0,16842.0,16846.0,250.0,breakout
20230804,2023-08-04 10:59:00,16846.0,16848.0,16825.0,16827.0,434.0,breakout
20230804,2023-08-04 11:06:00,16840.0,16849.0,16840.0,16847.0,475.0,breakout
20230804,2023-08-04 11:11:00,16848.0,16858.0,16847.0,16858.0,788.0,"volume_spike, breakout"
20230804,2023-08-04 11:12:00,16858.0,16861.0,16851.0,16861.0,437.0,breakout
20230804,2023-08-04 11:13:00,16862.0,16862.0,16855.0,16859.0,217.0,breakout
20230804,2023-08-04 11:15:00,16855.0,16863.0,16851.0,16853.0,442.0,breakout
20230804,2023-08-04 11:23:00,16837.0,16837.0,16826.0,16829.0,530.0,volume_spike
20230804,2023-08-04 11:30:00,16817.0,16832.0,16815.0,16829.0,761.0,volume_spike
20230804,2023-08-04 11:52:00,16807.0,16807.0,16797.0,16799.0,442.0,volume_spike
20230804,2023-08-04 12:06:00,16824.0,16831.0,16824.0,16831.0,294.0,breakout
20230804,2023-08-04 12:08:00,16830.0,16832.0,16817.0,16824.0,281.0,breakout
20230804,2023-08-04 12:11:00,16825.0,16835.0,16824.0,16835.0,219.0,breakout
20230804,2023-08-04 12:12:00,16834.0,16838.0,16832.0,16834.0,211.0,breakout
20230804,2023-08-04 12:16:00,16833.0,16842.0,16833.0,16842.0,253.0,breakout
20230804,2023-08-04 12:17:00,16842.0,16844.0,16832.0,16837.0,184.0,breakout
20230804,2023-08-04 12:39:00,16818.0,16819.0,16804.0,16804.0,231.0,volume_spike
20230804,2023-08-04 12:57:00,16822.0,16830.0,16822.0,16829.0,269.0,breakout
20230804,2023-08-04 13:04:00,16825.0,16826.0,16812.0,16813.0,406.0,volume_spike
20230804,2023-08-04 13:27:00,16812.0,16814.0,16806.0,16810.0,502.0,volume_spike
20230804,2023-08-04 13:43:00,16823.0,16826.0,16822.0,16826.0,480.0,breakout
20230804,2023-08-04 13:44:00,16826.0,16826.0,16820.0,16824.0,812.0,volume_spike
20230807,2023-08-07 08:55:00,16865.0,16874.0,16865.0,16874.0,561.0,volume_spike
20230807,2023-08-07 09:00:00,16880.0,16885.0,16871.0,16880.0,835.0,volume_spike
20230807,2023-08-07 09:05:00,16849.0,16871.0,16845.0,16869.0,959.0,long_red_candle
20230807,2023-08-07 09:10:00,16876.0,16895.0,16873.0,16895.0,947.0,long_red_candle
20230807,2023-08-07 09:15:00,16904.0,16915.0,16892.0,16906.0,1068.0,breakout
20230807,2023-08-07 09:18:00,16884.0,16902.0,16884.0,16899.0,427.0,long_red_candle
20230807,2023-08-07 09:22:00,16874.0,16898.0,16873.0,16898.0,681.0,long_red_candle
20230807,2023-08-07 09:24:00,16903.0,16916.0,16895.0,16914.0,737.0,breakout
20230807,2023-08-07 09:25:00,16915.0,16918.0,16901.0,16916.0,680.0,breakout
20230807,2023-08-07 09:35:00,16882.0,16884.0,16865.0,16879.0,1019.0,volume_spike
20230807,2023-08-07 09:36:00,16878.0,16895.0,16878.0,16895.0,469.0,long_red_candle
20230807,2023-08-07 09:54:00,16884.0,16900.0,16883.0,16899.0,443.0,long_red_candle
20230807,2023-08-07 09:59:00,16903.0,16933.0,16902.0,16932.0,1908.0,"long_red_candle, volume_spike, breakout"
20230807,2023-08-07 10:00:00,16933.0,16943.0,16933.0,16942.0,1505.0,breakout
20230807,2023-08-07 10:01:00,16943.0,16952.0,16942.0,16943.0,1063.0,breakout
20230807,2023-08-07 10:30:00,16936.0,16947.0,16934.0,16946.0,528.0,volume_spike
20230807,2023-08-07 10:32:00,16947.0,16960.0,16946.0,16949.0,917.0,"volume_spike, breakout"
20230807,2023-08-07 10:34:00,16958.0,16963.0,16954.0,16962.0,348.0,breakout
20230807,2023-08-07 10:35:00,16961.0,16970.0,16959.0,16970.0,590.0,breakout
20230807,2023-08-07 10:36:00,16970.0,16974.0,16964.0,16971.0,571.0,breakout
20230807,2023-08-07 10:38:00,16972.0,16983.0,16972.0,16982.0,607.0,breakout
20230807,2023-08-07 10:39:00,16983.0,16986.0,16979.0,16986.0,590.0,breakout
20230807,2023-08-07 10:40:00,16986.0,16993.0,16983.0,16991.0,855.0,breakout
20230807,2023-08-07 10:41:00,16991.0,16995.0,16989.0,16993.0,540.0,breakout
20230807,2023-08-07 10:42:00,16994.0,17000.0,16994.0,16999.0,522.0,breakout
20230807,2023-08-07 10:43:00,16999.0,17001.0,16992.0,16993.0,530.0,breakout
20230807,2023-08-07 10:44:00,16992.0,17002.0,16992.0,17001.0,380.0,breakout
20230807,2023-08-07 10:45:00,17001.0,17018.0,17001.0,17008.0,1615.0,"volume_spike, breakout"
20230807,2023-08-07 11:00:00,17013.0,17022.0,17007.0,17009.0,638.0,breakout
20230807,2023-08-07 12:17:00,16978.0,16980.0,16971.0,16973.0,475.0,volume_spike
20230807,2023-08-07 12:26:00,16993.0,16994.0,16989.0,16990.0,87.0,breakout
20230807,2023-08-07 12:29:00,16991.0,16997.0,16990.0,16996.0,151.0,breakout
20230807,2023-08-07 12:36:00,16996.0,17005.0,16996.0,17004.0,385.0,"volume_spike, breakout"
20230807,2023-08-07 12:37:00,17003.0,17013.0,17003.0,17012.0,520.0,"volume_spike, breakout"
20230807,2023-08-07 12:39:00,17011.0,17015.0,17009.0,17015.0,308.0,breakout
20230807,2023-08-07 12:56:00,17014.0,17017.0,17012.0,17016.0,228.0,breakout
20230807,2023-08-07 12:57:00,17016.0,17024.0,17013.0,17020.0,544.0,"volume_spike, breakout"
