Date,Open,High,Low,Close,Volume,Average
2024/12/12 08:46,23004,23041,23003,23028,1062,23028.0
2024/12/12 08:47,23031,23034,23019,23032,473,23029.2325732899
2024/12/12 08:48,23030,23048,23030,23045,314,23031.91022174148
2024/12/12 08:49,23045,23058,23043,23055,383,23035.872311827956
2024/12/12 08:50,23053,23056,23045,23054,228,23037.55243902439
2024/12/12 08:51,23054,23078,23050,23069,607,23043.77632865993
2024/12/12 08:52,23071,23077,23065,23066,298,23045.74442793462
2024/12/12 08:53,23066,23072,23061,23071,179,23047.020033860044
2024/12/12 08:54,23071,23075,23067,23072,140,23047.969326818675
2024/12/12 08:55,23072,23083,23063,23083,363,23051.111440573262
2024/12/12 08:56,23084,23095,23078,23089,474,23055.083831010837
2024/12/12 08:57,23089,23095,23088,23090,169,23056.342004264392
2024/12/12 08:58,23090,23090,23080,23082,182,23057.300492610837
2024/12/12 08:59,23080,23087,23077,23081,98,23057.767806841046
2024/12/12 09:00,23081,23091,23081,23088,137,23058.578813393382
2024/12/12 09:01,23088,23114,23085,23114,946,23067.240376672726
2024/12/12 09:02,23114,23119,23104,23109,481,23070.3145087236
2024/12/12 09:03,23109,23154,23106,23151,1500,23085.379014189693
2024/12/12 09:04,23151,23154,23137,23138,544,23088.71613429704
2024/12/12 09:05,23137,23138,23108,23117,615,23090.60828891548
2024/12/12 09:06,23117,23132,23114,23129,569,23092.846035648432
2024/12/12 09:07,23129,23132,23120,23128,230,23093.655224179343
2024/12/12 09:08,23130,23139,23123,23130,226,23094.459091798788
2024/12/12 09:09,23132,23137,23121,23122,184,23094.946260334553
2024/12/12 09:10,23122,23146,23122,23144,297,23096.30797270773
2024/12/12 09:11,23144,23146,23131,23144,251,23097.40118721461
2024/12/12 09:12,23141,23145,23134,23141,164,23098.04453842001
2024/12/12 09:13,23143,23165,23142,23145,1020,23101.991676281523
2024/12/12 09:14,23146,23155,23134,23143,489,23103.580289946924
2024/12/12 09:15,23143,23152,23143,23148,250,23104.442942593025
2024/12/12 09:16,23150,23154,23145,23147,359,23105.597566505443
2024/12/12 09:17,23151,23160,23149,23159,257,23106.615019645636
2024/12/12 09:18,23159,23174,23159,23162,668,23109.228367592004
2024/12/12 09:19,23162,23165,23149,23151,240,23109.924706536083
2024/12/12 09:20,23153,23158,23151,23158,148,23110.413887934
