Date,Open,High,Low,Close,Volume
2023/12/26 08:45,17651,17655,17644,17646,1091
2023/12/26 08:46,17648,17652,17638,17645,604
2023/12/26 08:47,17646,17648,17643,17647,158
2023/12/26 08:48,17647,17647,17645,17647,50
2023/12/26 08:49,17647,17648,17646,17647,84
2023/12/26 08:50,17648,17652,17647,17651,177
2023/12/26 08:51,17650,17653,17650,17652,111
2023/12/26 08:52,17651,17654,17650,17650,126
2023/12/26 08:53,17650,17651,17648,17649,68
2023/12/26 08:54,17649,17651,17649,17650,60
2023/12/26 08:55,17651,17651,17648,17648,79
2023/12/26 08:56,17648,17648,17645,17646,101
2023/12/26 08:57,17647,17647,17645,17646,43
2023/12/26 08:58,17646,17648,17645,17648,40
2023/12/26 08:59,17648,17652,17646,17650,169
2023/12/26 09:00,17650,17651,17643,17649,466
2023/12/26 09:01,17649,17650,17644,17646,173
2023/12/26 09:02,17647,17653,17645,17648,433
2023/12/26 09:03,17648,17649,17643,17646,207
2023/12/26 09:04,17645,17648,17644,17648,142
2023/12/26 09:05,17648,17648,17640,17642,338
2023/12/26 09:06,17643,17643,17635,17636,512
2023/12/26 09:07,17636,17639,17635,17636,225
2023/12/26 09:08,17635,17641,17634,17640,292
2023/12/26 09:09,17641,17646,17640,17646,200
2023/12/26 09:10,17645,17650,17642,17648,282
2023/12/26 09:11,17648,17649,17648,17648,124
2023/12/26 09:12,17647,17654,17645,17652,476
2023/12/26 09:13,17652,17661,17652,17659,802
2023/12/26 09:14,17659,17661,17657,17660,271
2023/12/26 09:15,17661,17664,17660,17663,589
2023/12/26 09:16,17663,17674,17663,17674,1135
2023/12/26 09:17,17674,17678,17671,17674,739
2023/12/26 09:18,17673,17684,17673,17680,793
2023/12/26 09:19,17681,17685,17679,17679,449
2023/12/26 09:20,17680,17687,17676,17685,751
2023/12/26 09:21,17685,17691,17684,17686,987
2023/12/26 09:22,17686,17689,17682,17683,329
2023/12/26 09:23,17682,17688,17682,17685,215
2023/12/26 09:24,17685,17687,17682,17686,352
2023/12/26 09:25,17687,17692,17687,17690,569
2023/12/26 09:26,17691,17698,17690,17696,718
2023/12/26 09:27,17697,17704,17696,17699,850
2023/12/26 09:28,17699,17705,17699,17700,565
2023/12/26 09:29,17699,17700,17691,17693,389
2023/12/26 09:30,17691,17698,17691,17698,330
2023/12/26 09:31,17698,17701,17696,17697,262
2023/12/26 09:32,17696,17700,17694,17694,218
2023/12/26 09:33,17695,17698,17694,17697,228
2023/12/26 09:34,17697,17701,17695,17701,227
2023/12/26 09:35,17701,17702,17694,17695,235
2023/12/26 09:36,17695,17702,17695,17701,199
2023/12/26 09:37,17700,17704,17699,17703,238
2023/12/26 09:38,17703,17708,17702,17706,631
2023/12/26 09:39,17707,17708,17700,17700,268
2023/12/26 09:40,17701,17705,17700,17700,246
2023/12/26 09:41,17700,17704,17697,17703,291
2023/12/26 09:42,17703,17710,17698,17699,471
2023/12/26 09:43,17699,17700,17697,17699,280
2023/12/26 09:44,17699,17706,17698,17701,211
2023/12/26 09:45,17702,17705,17700,17703,228
2023/12/26 09:46,17702,17702,17698,17701,118
2023/12/26 09:47,17701,17704,17697,17699,251
2023/12/26 09:48,17699,17700,17696,17696,133
2023/12/26 09:49,17696,17697,17693,17693,278
2023/12/26 09:50,17693,17696,17691,17693,204
2023/12/26 09:51,17693,17698,17692,17697,171
2023/12/26 09:52,17696,17701,17694,17699,274
