Date,Open,High,Low,Close,Volume
2025/2/13 08:46,23435,23460,23427,23437,1376
2025/2/13 08:47,23439,23448,23419,23423,531
2025/2/13 08:48,23424,23428,23414,23422,258
2025/2/13 08:49,23422,23424,23419,23423,116
2025/2/13 08:50,23423,23423,23408,23408,210
2025/2/13 08:51,23410,23415,23405,23407,149
2025/2/13 08:52,23407,23407,23392,23394,202
2025/2/13 08:53,23392,23396,23389,23393,195
2025/2/13 08:54,23392,23395,23387,23387,162
2025/2/13 08:55,23387,23400,23387,23391,185
2025/2/13 08:56,23391,23396,23390,23395,81
2025/2/13 08:57,23393,23395,23390,23391,81
2025/2/13 08:58,23393,23393,23352,23361,839
2025/2/13 08:59,23361,23362,23336,23350,612
2025/2/13 09:00,23350,23354,23326,23326,363
2025/2/13 09:01,23326,23330,23304,23306,1295
2025/2/13 09:02,23307,23309,23250,23291,1408
2025/2/13 09:03,23290,23314,23286,23314,514
2025/2/13 09:04,23313,23313,23295,23311,334
2025/2/13 09:05,23310,23311,23289,23295,301
2025/2/13 09:06,23295,23306,23282,23304,401
2025/2/13 09:07,23304,23323,23302,23317,442
2025/2/13 09:08,23317,23319,23306,23311,203
2025/2/13 09:09,23313,23326,23313,23322,250
2025/2/13 09:10,23324,23328,23318,23323,241
2025/2/13 09:11,23326,23334,23321,23327,296
2025/2/13 09:12,23326,23332,23319,23332,170
2025/2/13 09:13,23330,23338,23323,23323,242
2025/2/13 09:14,23324,23338,23322,23331,250
2025/2/13 09:15,23330,23332,23324,23330,85
2025/2/13 09:16,23330,23335,23321,23330,176
2025/2/13 09:17,23331,23336,23322,23325,139
2025/2/13 09:18,23325,23329,23317,23328,203
2025/2/13 09:19,23327,23341,23318,23319,226
2025/2/13 09:20,23319,23329,23316,23327,135
2025/2/13 09:21,23329,23332,23301,23301,484
2025/2/13 09:22,23303,23313,23296,23305,407
2025/2/13 09:23,23305,23305,23282,23282,368
2025/2/13 09:24,23284,23292,23277,23278,388
2025/2/13 09:25,23278,23287,23271,23280,316
2025/2/13 09:26,23279,23287,23255,23286,624
2025/2/13 09:27,23286,23305,23270,23277,595
2025/2/13 09:28,23275,23291,23273,23283,472
2025/2/13 09:29,23283,23288,23277,23281,259
2025/2/13 09:30,23282,23294,23281,23292,208
2025/2/13 09:31,23292,23304,23291,23299,256
2025/2/13 09:32,23297,23303,23296,23302,145
2025/2/13 09:33,23302,23312,23302,23312,259
2025/2/13 09:34,23310,23326,23303,23308,408
2025/2/13 09:35,23309,23327,23308,23318,239
2025/2/13 09:36,23319,23320,23308,23315,186
2025/2/13 09:37,23313,23316,23306,23308,145
2025/2/13 09:38,23309,23320,23306,23312,134
2025/2/13 09:39,23313,23325,23309,23324,134
2025/2/13 09:40,23323,23335,23319,23333,232
2025/2/13 09:41,23334,23337,23321,23328,236
2025/2/13 09:42,23327,23329,23318,23323,114
2025/2/13 09:43,23323,23327,23316,23326,79
2025/2/13 09:44,23326,23332,23320,23323,141
2025/2/13 09:45,23323,23333,23322,23328,92
2025/2/13 09:46,23328,23328,23315,23318,205
2025/2/13 09:47,23320,23328,23316,23325,105
2025/2/13 09:48,23327,23327,23319,23324,63
2025/2/13 09:49,23324,23345,23324,23345,401
