Date,Open,High,Low,Close,Volume
2025/1/14 08:46,22594,22650,22588,22636,1856
2025/1/14 08:47,22637,22647,22603,22617,727
2025/1/14 08:48,22616,22617,22576,22577,406
2025/1/14 08:49,22577,22599,22574,22596,338
2025/1/14 08:50,22596,22618,22596,22615,307
2025/1/14 08:51,22615,22622,22610,22620,229
2025/1/14 08:52,22618,22626,22614,22620,265
2025/1/14 08:53,22623,22629,22606,22614,162
2025/1/14 08:54,22611,22625,22600,22625,220
2025/1/14 08:55,22623,22637,22596,22597,322
2025/1/14 08:56,22598,22612,22580,22580,330
2025/1/14 08:57,22582,22588,22563,22567,345
2025/1/14 08:58,22566,22586,22564,22586,334
2025/1/14 08:59,22586,22598,22581,22597,191
2025/1/14 09:00,22597,22619,22591,22618,263
2025/1/14 09:01,22618,22642,22582,22639,1122
2025/1/14 09:02,22637,22646,22605,22606,746
2025/1/14 09:03,22608,22615,22583,22588,390
2025/1/14 09:04,22587,22601,22573,22596,551
2025/1/14 09:05,22594,22609,22580,22591,283
2025/1/14 09:06,22592,22623,22590,22618,448
2025/1/14 09:07,22620,22623,22594,22597,326
2025/1/14 09:08,22600,22608,22587,22600,248
2025/1/14 09:09,22600,22622,22596,22611,266
2025/1/14 09:10,22610,22629,22605,22627,315
2025/1/14 09:11,22629,22671,22629,22648,1254
2025/1/14 09:12,22646,22649,22584,22611,809
2025/1/14 09:13,22609,22609,22592,22597,224
2025/1/14 09:14,22597,22625,22594,22607,324
2025/1/14 09:15,22607,22614,22591,22591,322
2025/1/14 09:16,22592,22618,22592,22615,226
2025/1/14 09:17,22615,22618,22600,22604,203
2025/1/14 09:18,22604,22612,22594,22610,215
2025/1/14 09:19,22610,22623,22610,22619,126
2025/1/14 09:20,22620,22620,22590,22592,246
2025/1/14 09:21,22594,22604,22586,22588,252
2025/1/14 09:22,22589,22604,22582,22593,219
2025/1/14 09:23,22594,22594,22557,22571,724
2025/1/14 09:24,22570,22591,22566,22584,212
2025/1/14 09:25,22584,22593,22581,22592,171
2025/1/14 09:26,22592,22600,22586,22592,163
2025/1/14 09:27,22592,22592,22578,22589,133
2025/1/14 09:28,22588,22590,22577,22577,175
