Date,Open,High,Low,Close,Volume
2024/9/30 08:46,22699,22699,22655,22689,1351
2024/9/30 08:47,22690,22698,22670,22695,642
2024/9/30 08:48,22693,22714,22692,22704,660
2024/9/30 08:49,22702,22724,22702,22722,344
2024/9/30 08:50,22720,22722,22703,22703,353
2024/9/30 08:51,22703,22716,22694,22707,350
2024/9/30 08:52,22705,22728,22704,22722,261
2024/9/30 08:53,22722,22733,22717,22731,253
2024/9/30 08:54,22730,22736,22706,22708,281
2024/9/30 08:55,22707,22716,22704,22705,161
2024/9/30 08:56,22705,22728,22704,22722,258
2024/9/30 08:57,22723,22739,22723,22723,333
2024/9/30 08:58,22723,22737,22705,22710,299
2024/9/30 08:59,22713,22720,22707,22707,175
2024/9/30 09:00,22709,22713,22699,22700,257
2024/9/30 09:01,22700,22715,22683,22709,986
2024/9/30 09:02,22707,22726,22705,22724,506
2024/9/30 09:03,22724,22729,22705,22716,386
2024/9/30 09:04,22720,22725,22685,22694,483
2024/9/30 09:05,22696,22723,22692,22721,443
2024/9/30 09:06,22722,22750,22718,22748,979
2024/9/30 09:07,22749,22752,22740,22746,473
2024/9/30 09:08,22746,22755,22737,22743,390
2024/9/30 09:09,22741,22746,22727,22735,376
2024/9/30 09:10,22735,22740,22702,22716,502
2024/9/30 09:11,22717,22724,22704,22724,362
2024/9/30 09:12,22725,22732,22702,22705,286
2024/9/30 09:13,22707,22709,22675,22681,666
2024/9/30 09:14,22679,22686,22667,22673,462
2024/9/30 09:15,22673,22684,22668,22680,390
2024/9/30 09:16,22682,22693,22662,22690,568
2024/9/30 09:17,22692,22724,22692,22713,661
2024/9/30 09:18,22714,22722,22701,22709,263
2024/9/30 09:19,22712,22715,22697,22710,198
2024/9/30 09:20,22709,22722,22706,22706,221
2024/9/30 09:21,22707,22712,22687,22693,372
2024/9/30 09:22,22692,22699,22684,22688,289
2024/9/30 09:23,22691,22698,22674,22674,262
2024/9/30 09:24,22675,22688,22668,22680,283
2024/9/30 09:25,22682,22684,22650,22661,1065
2024/9/30 09:26,22663,22683,22661,22667,514
2024/9/30 09:27,22670,22695,22668,22684,327
2024/9/30 09:28,22685,22712,22682,22704,434
2024/9/30 09:29,22706,22715,22700,22701,218
2024/9/30 09:30,22701,22707,22681,22701,230
2024/9/30 09:31,22704,22733,22701,22724,605
2024/9/30 09:32,22721,22737,22709,22730,336
2024/9/30 09:33,22731,22733,22703,22707,223
2024/9/30 09:34,22704,22726,22702,22710,245
2024/9/30 09:35,22711,22721,22696,22710,271
2024/9/30 09:36,22710,22724,22709,22724,221
2024/9/30 09:37,22723,22731,22711,22716,183
2024/9/30 09:38,22715,22734,22709,22716,205
2024/9/30 09:39,22717,22719,22687,22687,384
2024/9/30 09:40,22688,22690,22677,22685,366
2024/9/30 09:41,22684,22704,22682,22688,220
2024/9/30 09:42,22688,22693,22671,22675,272
2024/9/30 09:43,22674,22687,22669,22672,298
2024/9/30 09:44,22670,22675,22654,22658,471
2024/9/30 09:45,22661,22663,22641,22660,686
2024/9/30 09:46,22661,22680,22652,22669,501
2024/9/30 09:47,22670,22673,22647,22655,299
2024/9/30 09:48,22657,22660,22637,22643,408
2024/9/30 09:49,22644,22645,22619,22636,1115
2024/9/30 09:50,22636,22646,22625,22635,321
2024/9/30 09:51,22640,22640,22612,22615,614
2024/9/30 09:52,22615,22615,22605,22609,418
2024/9/30 09:53,22608,22617,22602,22616,309
2024/9/30 09:54,22615,22625,22608,22623,254
2024/9/30 09:55,22626,22636,22619,22631,321
2024/9/30 09:56,22631,22631,22610,22611,284
2024/9/30 09:57,22613,22644,22607,22639,426
2024/9/30 09:58,22641,22641,22620,22633,181
2024/9/30 09:59,22633,22647,22628,22633,271
2024/9/30 10:00,22630,22638,22622,22630,160
2024/9/30 10:01,22629,22632,22583,22588,1224
2024/9/30 10:02,22587,22589,22560,22566,849
2024/9/30 10:03,22569,22578,22553,22561,556
2024/9/30 10:04,22562,22580,22554,22563,423
2024/9/30 10:05,22564,22585,22563,22575,272
2024/9/30 10:06,22575,22575,22531,22562,1032
2024/9/30 10:07,22560,22566,22543,22565,303
2024/9/30 10:08,22567,22584,22567,22580,423
2024/9/30 10:09,22582,22586,22572,22576,230
2024/9/30 10:10,22572,22585,22562,22570,261
2024/9/30 10:11,22570,22571,22526,22533,540
2024/9/30 10:12,22530,22556,22529,22541,285
2024/9/30 10:13,22539,22545,22516,22523,509
2024/9/30 10:14,22525,22555,22521,22544,342
2024/9/30 10:15,22545,22557,22540,22546,216
2024/9/30 10:16,22551,22555,22527,22528,290
2024/9/30 10:17,22528,22533,22512,22526,356
2024/9/30 10:18,22528,22540,22512,22526,302
2024/9/30 10:19,22527,22546,22527,22542,214
2024/9/30 10:20,22541,22555,22541,22545,197
2024/9/30 10:21,22541,22541,22515,22519,306
2024/9/30 10:22,22519,22523,22507,22512,489
2024/9/30 10:23,22516,22520,22508,22514,289
2024/9/30 10:24,22511,22538,22505,22526,470
2024/9/30 10:25,22528,22528,22499,22506,548
2024/9/30 10:26,22504,22511,22492,22503,349
2024/9/30 10:27,22502,22504,22490,22498,373
2024/9/30 10:28,22498,22506,22488,22501,256
2024/9/30 10:29,22501,22535,22501,22535,389
2024/9/30 10:30,22535,22546,22523,22527,363
2024/9/30 10:31,22525,22544,22516,22534,301
2024/9/30 10:32,22535,22538,22518,22518,223
2024/9/30 10:33,22517,22522,22497,22504,356
2024/9/30 10:34,22505,22513,22494,22501,233
2024/9/30 10:35,22501,22501,22474,22484,781
2024/9/30 10:36,22483,22487,22470,22472,363
2024/9/30 10:37,22472,22484,22468,22473,198
2024/9/30 10:38,22474,22483,22462,22465,323
2024/9/30 10:39,22465,22469,22447,22447,625
2024/9/30 10:40,22450,22482,22448,22473,509
2024/9/30 10:41,22471,22484,22461,22466,376
2024/9/30 10:42,22466,22482,22464,22480,175
2024/9/30 10:43,22481,22487,22475,22480,192
2024/9/30 10:44,22483,22496,22480,22495,453
2024/9/30 10:45,22495,22496,22467,22480,255
2024/9/30 10:46,22480,22481,22469,22474,177
2024/9/30 10:47,22476,22516,22476,22507,420
2024/9/30 10:48,22510,22523,22505,22523,334
2024/9/30 10:49,22522,22533,22517,22518,343
2024/9/30 10:50,22517,22530,22516,22528,144
2024/9/30 10:51,22528,22535,22528,22531,218
2024/9/30 10:52,22532,22546,22526,22538,313
2024/9/30 10:53,22540,22573,22540,22560,1004
2024/9/30 10:54,22561,22564,22544,22548,274
2024/9/30 10:55,22549,22553,22545,22548,219
2024/9/30 10:56,22546,22558,22546,22555,207
2024/9/30 10:57,22554,22563,22545,22545,139
