Date,Open,High,Low,Close,Volume,Average
2025/2/19 08:46,23568,23600,23560,23593,843,23593.0
2025/2/19 08:47,23593,23596,23581,23594,326,23593.27887082977
2025/2/19 08:48,23594,23599,23588,23597,154,23593.712018140588
2025/2/19 08:49,23597,23610,23596,23610,170,23595.566644340255
2025/2/19 08:50,23608,23610,23606,23610,103,23596.498120300752
2025/2/19 08:51,23608,23613,23604,23605,99,23596.99469026549
2025/2/19 08:52,23604,23611,23604,23611,73,23597.572963800903
2025/2/19 08:53,23611,23615,23608,23608,64,23597.937227074235
2025/2/19 08:54,23608,23609,23600,23601,86,23598.07455683003
2025/2/19 08:55,23601,23606,23598,23601,52,23598.151776649745
2025/2/19 08:56,23602,23605,23599,23599,63,23598.178061977374
2025/2/19 08:57,23599,23604,23598,23604,43,23598.298651252408
2025/2/19 08:58,23603,23603,23597,23598,57,23598.290670417253
2025/2/19 08:59,23598,23598,23589,23593,96,23598.062808434275
2025/2/19 09:00,23594,23607,23594,23603,91,23598.256465517243
2025/2/19 09:01,23606,23613,23604,23609,168,23598.98191318328
2025/2/19 09:02,23611,23621,23600,23620,232,23600.774632352943
2025/2/19 09:03,23621,23624,23615,23622,157,23601.932916232185
2025/2/19 09:04,23621,23632,23619,23622,263,23603.613694267515
2025/2/19 09:05,23623,23625,23617,23620,166,23604.436479128857
2025/2/19 09:06,23621,23624,23611,23616,141,23604.90948651001
2025/2/19 09:07,23615,23618,23608,23609,84,23605.006796941376
2025/2/19 09:08,23609,23615,23607,23615,86,23605.244401437656
2025/2/19 09:09,23613,23614,23608,23613,61,23605.37302882001
2025/2/19 09:10,23613,23619,23610,23618,101,23605.710505424715
2025/2/19 09:11,23618,23620,23609,23617,100,23606.00154679041
2025/2/19 09:12,23615,23617,23610,23613,50,23606.090608297276
2025/2/19 09:13,23613,23613,23607,23607,66,23606.10563204005
2025/2/19 09:14,23607,23612,23607,23610,34,23606.13849590469
2025/2/19 09:15,23610,23617,23610,23614,43,23606.22151277014
2025/2/19 09:16,23615,23629,23613,23629,153,23607.046390532545
2025/2/19 09:17,23628,23635,23618,23621,194,23607.65897261824
2025/2/19 09:18,23620,23625,23617,23623,67,23607.888096299597
2025/2/19 09:19,23625,23633,23625,23630,71,23608.2326091727
