Date,Open,High,Low,Close,Volume,Average
2024/12/4 08:46,23200,23220,23183,23193,1271,23193.0
2024/12/4 08:47,23190,23202,23167,23178,614,23188.114058355437
2024/12/4 08:48,23178,23180,23160,23162,468,23182.92010199745
2024/12/4 08:49,23165,23178,23160,23172,172,23182.176237623764
2024/12/4 08:50,23172,23177,23164,23168,185,23181.20848708487
2024/12/4 08:51,23167,23175,23165,23171,150,23180.673076923078
2024/12/4 08:52,23170,23176,23166,23169,188,23179.9530839895
2024/12/4 08:53,23170,23182,23164,23180,298,23179.95726240287
2024/12/4 08:54,23181,23186,23178,23178,222,23179.83548206278
2024/12/4 08:55,23178,23180,23164,23165,181,23179.119231795146
2024/12/4 08:56,23167,23177,23165,23173,128,23178.917204023728
2024/12/4 08:57,23174,23184,23173,23184,118,23179.06733416771
2024/12/4 08:58,23183,23189,23180,23188,167,23179.425756847668
2024/12/4 08:59,23186,23193,23177,23180,214,23179.453839122485
2024/12/4 09:00,23179,23179,23168,23169,243,23178.903875297685
2024/12/4 09:01,23169,23188,23164,23185,477,23179.474489795917
2024/12/4 09:02,23183,23188,23165,23169,291,23178.908669018005
2024/12/4 09:03,23171,23175,23140,23148,754,23175.11366226999
2024/12/4 09:04,23147,23147,23128,23136,516,23172.08186870963
2024/12/4 09:05,23135,23150,23131,23148,369,23170.817107885
2024/12/4 09:06,23149,23161,23128,23156,473,23169.882517669022
2024/12/4 09:07,23155,23156,23136,23140,228,23169.000776497993
2024/12/4 09:08,23138,23151,23136,23140,165,23168.394450076026
2024/12/4 09:09,23142,23149,23133,23141,196,23167.73058852621
2024/12/4 09:10,23140,23144,23134,23139,167,23167.149364021803
2024/12/4 09:11,23136,23144,23125,23128,256,23165.971801198448
2024/12/4 09:12,23128,23134,23120,23120,301,23164.40149795733
2024/12/4 09:13,23122,23139,23120,23134,222,23163.654416648216
2024/12/4 09:14,23134,23134,23124,23126,129,23163.124304267163
2024/12/4 09:15,23125,23125,23105,23113,538,23160.344500566953
2024/12/4 09:16,23113,23129,23112,23126,310,23159.28099091
2024/12/4 09:17,23125,23128,23118,23122,212,23158.50787440086
2024/12/4 09:18,23123,23135,23116,23119,294,23157.403442046212
2024/12/4 09:19,23122,23122,23113,23117,172,23156.75329778277
2024/12/4 09:20,23116,23116,23096,23099,470,23154.320817277534
2024/12/4 09:21,23098,23120,23097,23118,297,23153.379189944135
2024/12/4 09:22,23119,23120,23101,23108,237,23152.459420165913
2024/12/4 09:23,23106,23121,23106,23112,165,23151.896441221117
2024/12/4 09:24,23114,23125,23114,23119,188,23151.38303171177
2024/12/4 09:25,23116,23123,23113,23114,147,23150.932338226852
2024/12/4 09:26,23113,23118,23101,23115,326,23149.996645099447
2024/12/4 09:27,23118,23120,23098,23107,300,23148.990404867774
2024/12/4 09:28,23104,23107,23095,23099,333,23147.724680656935
2024/12/4 09:29,23100,23117,23095,23096,242,23146.790129908914
2024/12/4 09:30,23095,23098,23086,23094,417,23145.196220404025
2024/12/4 09:31,23095,23111,23093,23110,242,23144.590123105387
2024/12/4 09:32,23110,23121,23106,23113,282,23143.96867806069
2024/12/4 09:33,23111,23113,23103,23105,145,23143.578453038674
2024/12/4 09:34,23108,23113,23102,23107,83,23143.369978713177
2024/12/4 09:35,23107,23108,23094,23094,187,23142.74406779661
2024/12/4 09:36,23093,23110,23092,23104,181,23142.274395552875
2024/12/4 09:37,23101,23101,23071,23085,844,23139.210079239303
2024/12/4 09:38,23087,23116,23079,23108,664,23137.949449479896
2024/12/4 09:39,23109,23124,23102,23122,382,23137.587242137804
2024/12/4 09:40,23122,23122,23108,23108,235,23137.17958489681
2024/12/4 09:41,23108,23116,23104,23107,206,23136.819429961764
2024/12/4 09:42,23109,23115,23098,23115,240,23136.520226259858
2024/12/4 09:43,23114,23127,23112,23121,373,23136.196363636365
2024/12/4 09:44,23121,23126,23115,23124,117,23136.11705202312
2024/12/4 09:45,23126,23135,23122,23135,241,23136.10228706192
2024/12/4 09:46,23134,23139,23125,23128,352,23135.94882970137
2024/12/4 09:47,23127,23144,23125,23135,235,23135.936981934112
2024/12/4 09:48,23136,23140,23121,23121,207,23135.774478372838
2024/12/4 09:49,23121,23128,23118,23122,153,23135.664598540145
2024/12/4 09:50,23121,23134,23120,23130,111,23135.632004561714
2024/12/4 09:51,23132,23144,23130,23140,157,23135.66726655697
2024/12/4 09:52,23142,23145,23128,23132,164,23135.63660004079
2024/12/4 09:53,23134,23140,23130,23137,99,23135.643447821014
2024/12/4 09:54,23138,23146,23134,23140,173,23135.681351840674
2024/12/4 09:55,23139,23141,23136,23140,52,23135.69261637239
2024/12/4 09:56,23140,23141,23131,23140,88,23135.711546144626
2024/12/4 09:57,23140,23150,23140,23146,203,23135.81480199733
2024/12/4 09:58,23145,23152,23145,23150,154,23135.921986163583
2024/12/4 09:59,23150,23151,23141,23147,137,23135.99595477142
2024/12/4 10:00,23147,23160,23147,23159,239,23136.26082767259
2024/12/4 10:01,23159,23165,23154,23156,313,23136.55405790223
2024/12/4 10:02,23157,23159,23150,23159,101,23136.661140239004
2024/12/4 10:03,23159,23176,23159,23162,417,23137.150592921993
2024/12/4 10:04,23164,23174,23162,23173,236,23137.5382606305
2024/12/4 10:05,23173,23176,23164,23165,158,23137.73564734783
2024/12/4 10:06,23165,23170,23156,23159,167,23137.89597724502
2024/12/4 10:07,23158,23164,23158,23159,102,23137.99271942834
2024/12/4 10:08,23160,23163,23151,23153,138,23138.085220420744
2024/12/4 10:09,23153,23153,23143,23147,163,23138.14965413267
2024/12/4 10:10,23149,23149,23138,23140,116,23138.159122992765
2024/12/4 10:11,23139,23150,23136,23148,155,23138.22595627218
2024/12/4 10:12,23148,23150,23146,23147,47,23138.243987756887
2024/12/4 10:13,23146,23146,23135,23138,128,23138.242629793895
2024/12/4 10:14,23137,23143,23123,23139,312,23138.252767052767
2024/12/4 10:15,23138,23145,23135,23142,103,23138.269252124886
2024/12/4 10:16,23141,23147,23140,23140,107,23138.27712585034
2024/12/4 10:17,23139,23150,23139,23148,120,23138.326480541455
2024/12/4 10:18,23148,23151,23139,23139,70,23138.328469000422
2024/12/4 10:19,23143,23145,23138,23143,37,23138.33574767339
2024/12/4 10:20,23145,23157,23145,23157,82,23138.399974820597
2024/12/4 10:21,23156,23158,23148,23155,79,23138.454826836205
2024/12/4 10:22,23155,23156,23141,23142,99,23138.469446411462
2024/12/4 10:23,23142,23151,23142,23144,52,23138.48139989193
2024/12/4 10:24,23144,23149,23139,23148,91,23138.517267080744
2024/12/4 10:25,23148,23151,23142,23142,60,23138.525898389096
2024/12/4 10:26,23145,23147,23138,23143,72,23138.539164813443
2024/12/4 10:27,23143,23152,23140,23151,38,23138.558634868423
2024/12/4 10:28,23151,23152,23135,23135,79,23138.54711258658
2024/12/4 10:29,23135,23139,23129,23135,113,23138.530760443864
2024/12/4 10:30,23135,23137,23125,23129,111,23138.487795963123
2024/12/4 10:31,23130,23134,23121,23125,167,23138.39693424768
2024/12/4 10:32,23124,23128,23120,23127,120,23138.342031312724
2024/12/4 10:33,23127,23133,23122,23125,72,23138.303578576575
2024/12/4 10:34,23127,23137,23126,23137,93,23138.298743768693
2024/12/4 10:35,23137,23137,23118,23125,112,23138.239607734147
2024/12/4 10:36,23126,23128,23120,23120,83,23138.17969924812
2024/12/4 10:37,23121,23132,23119,23127,135,23138.120291281244
2024/12/4 10:38,23127,23132,23124,23126,70,23138.086987242394
2024/12/4 10:39,23125,23133,23125,23132,40,23138.077444640407
2024/12/4 10:40,23131,23135,23128,23133,81,23138.061376777623
2024/12/4 10:41,23134,23142,23132,23142,97,23138.07624644845
2024/12/4 10:42,23142,23143,23137,23138,85,23138.075995034527
2024/12/4 10:43,23140,23140,23128,23130,54,23138.0591127284
2024/12/4 10:44,23129,23135,23126,23128,70,23138.031928036446
2024/12/4 10:45,23129,23130,23124,23125,80,23137.991802016782
2024/12/4 10:46,23126,23132,23122,23127,92,23137.95301833244
2024/12/4 10:47,23127,23140,23123,23137,96,23137.94952235384
2024/12/4 10:48,23137,23141,23127,23133,172,23137.917204464353
2024/12/4 10:49,23134,23143,23134,23140,109,23137.925787304826
2024/12/4 10:50,23140,23153,23140,23152,194,23138.028260461626
2024/12/4 10:51,23152,23157,23146,23150,146,23138.09350154903
2024/12/4 10:52,23150,23151,23147,23147,36,23138.105453461067
2024/12/4 10:53,23146,23146,23142,23143,45,23138.113649895804
2024/12/4 10:54,23144,23146,23137,23137,63,23138.111045108595
2024/12/4 10:55,23139,23143,23137,23139,60,23138.113020929803
2024/12/4 10:56,23139,23140,23136,23139,38,23138.114267746827
2024/12/4 10:57,23142,23142,23138,23139,22,23138.114987987432
2024/12/4 10:58,23139,23144,23138,23141,29,23138.118077093488
2024/12/4 10:59,23143,23143,23138,23142,44,23138.124373341197
2024/12/4 11:00,23144,23155,23143,23153,115,23138.18716734574
2024/12/4 11:01,23156,23159,23149,23149,130,23138.2385197092
2024/12/4 11:02,23149,23154,23148,23151,35,23138.254816112083
2024/12/4 11:03,23151,23151,23147,23149,34,23138.268129145104
2024/12/4 11:04,23149,23150,23147,23147,27,23138.27671192981
2024/12/4 11:05,23149,23149,23131,23140,172,23138.28743533157
2024/12/4 11:06,23140,23145,23138,23144,47,23138.297132331696
2024/12/4 11:07,23142,23142,23133,23133,52,23138.28720259553
2024/12/4 11:08,23134,23136,23131,23133,38,23138.279969760242
2024/12/4 11:09,23133,23138,23131,23131,30,23138.27211593786
2024/12/4 11:10,23131,23137,23131,23137,22,23138.271110312613
2024/12/4 11:11,23137,23142,23135,23142,21,23138.27392194176
2024/12/4 11:12,23142,23144,23139,23139,34,23138.274807244037
2024/12/4 11:13,23140,23159,23135,23146,364,23138.374349534497
2024/12/4 11:14,23147,23147,23134,23134,46,23138.36723802792
2024/12/4 11:15,23135,23143,23127,23140,166,23138.376761181968
2024/12/4 11:16,23140,23141,23135,23137,43,23138.374684254843
2024/12/4 11:17,23137,23142,23128,23141,84,23138.38239820904
2024/12/4 11:18,23142,23146,23136,23136,62,23138.377242582897
2024/12/4 11:19,23140,23142,23134,23134,36,23138.371749285365
2024/12/4 11:20,23136,23137,23133,23133,32,23138.365763632566
2024/12/4 11:21,23132,23138,23131,23134,35,23138.360449344415
2024/12/4 11:22,23136,23138,23135,23136,23,23138.35856269113
2024/12/4 11:23,23137,23137,23134,23135,37,23138.354249817792
2024/12/4 11:24,23136,23139,23136,23137,28,23138.35293505773
2024/12/4 11:25,23137,23145,23136,23142,65,23138.36113609631
2024/12/4 11:26,23141,23142,23133,23135,58,23138.354405468857
2024/12/4 11:27,23135,23135,23132,23132,42,23138.345204440462
2024/12/4 11:28,23132,23139,23131,23139,70,23138.346780850185
2024/12/4 11:29,23139,23142,23131,23133,76,23138.33284165752
2024/12/4 11:30,23133,23135,23130,23130,72,23138.312311798523
2024/12/4 11:31,23130,23140,23129,23140,70,23138.316344643954
2024/12/4 11:32,23140,23141,23135,23138,35,23138.315967131508
2024/12/4 11:33,23139,23141,23138,23139,24,23138.316526419785
2024/12/4 11:34,23140,23143,23139,23139,30,23138.31722424531
2024/12/4 11:35,23139,23139,23137,23138,25,23138.316954570186
2024/12/4 11:36,23140,23152,23139,23150,154,23138.377816115284
2024/12/4 11:37,23149,23170,23149,23170,358,23138.75618315508
2024/12/4 11:38,23169,23185,23167,23182,459,23139.409559235
2024/12/4 11:39,23182,23190,23182,23190,417,23140.09459020652
2024/12/4 11:40,23188,23203,23188,23202,545,23141.171085798156
2024/12/4 11:41,23202,23208,23198,23199,428,23141.95017155088
2024/12/4 11:42,23200,23201,23189,23193,212,23142.288577592946
2024/12/4 11:43,23194,23198,23191,23193,106,23142.456103718017
2024/12/4 11:44,23193,23197,23188,23197,132,23142.679567956795
2024/12/4 11:45,23197,23204,23195,23204,173,23143.007069646825
2024/12/4 11:46,23202,23207,23198,23205,231,23143.446035005978
2024/12/4 11:47,23204,23204,23196,23196,90,23143.59062146547
2024/12/4 11:48,23195,23201,23195,23198,56,23143.683603405658
2024/12/4 11:49,23198,23202,23197,23199,68,23143.798154520817
2024/12/4 11:50,23198,23200,23191,23192,89,23143.928445605296
2024/12/4 11:51,23191,23199,23190,23197,67,23144.036219804202
2024/12/4 11:52,23195,23195,23191,23191,44,23144.098768047945
2024/12/4 11:53,23192,23196,23190,23196,110,23144.27100491749
2024/12/4 11:54,23196,23202,23194,23200,81,23144.4068556639
2024/12/4 11:55,23201,23202,23192,23192,52,23144.481219951922
2024/12/4 11:56,23192,23195,23192,23194,41,23144.54215059572
2024/12/4 11:57,23196,23199,23195,23195,44,23144.608691742844
2024/12/4 11:58,23197,23200,23195,23196,43,23144.67483836207
2024/12/4 11:59,23196,23196,23189,23191,76,23144.779984470195
2024/12/4 12:00,23190,23200,23189,23197,113,23144.955621037592
2024/12/4 12:01,23195,23207,23193,23204,151,23145.21980561811
2024/12/4 12:02,23202,23206,23194,23195,115,23145.38886099873
2024/12/4 12:03,23195,23200,23193,23195,42,23145.45031706238
2024/12/4 12:04,23198,23199,23192,23192,75,23145.553060623897
2024/12/4 12:05,23193,23195,23186,23195,126,23145.735735647686
2024/12/4 12:06,23194,23198,23188,23189,63,23145.815505282568
2024/12/4 12:07,23190,23193,23185,23186,83,23145.91288099965
2024/12/4 12:08,23186,23190,23172,23172,229,23146.086134392855
2024/12/4 12:09,23173,23180,23171,23178,80,23146.160006944243
2024/12/4 12:10,23177,23178,23172,23172,87,23146.22489032556
2024/12/4 12:11,23173,23175,23165,23170,153,23146.329415821383
2024/12/4 12:12,23170,23171,23163,23163,121,23146.38717713762
2024/12/4 12:13,23163,23169,23158,23162,149,23146.453508596845
2024/12/4 12:14,23164,23167,23161,23164,58,23146.482478863618
2024/12/4 12:15,23164,23168,23161,23168,38,23146.50572980351
2024/12/4 12:16,23166,23174,23164,23167,128,23146.58005383199
2024/12/4 12:17,23166,23169,23166,23166,31,23146.59709562362
2024/12/4 12:18,23166,23169,23165,23168,45,23146.624325012017
2024/12/4 12:19,23168,23173,23167,23170,38,23146.649411166654
2024/12/4 12:20,23171,23175,23169,23170,53,23146.684309965596
