Date,Open,High,Low,Close,Volume
2024/8/16 08:46,22324,22355,22315,22330,1723
2024/8/16 08:47,22330,22333,22294,22321,1499
2024/8/16 08:48,22320,22350,22317,22338,644
2024/8/16 08:49,22336,22345,22326,22327,244
2024/8/16 08:50,22326,22350,22324,22326,394
2024/8/16 08:51,22329,22329,22314,22328,459
2024/8/16 08:52,22326,22332,22315,22319,205
2024/8/16 08:53,22317,22322,22313,22322,180
2024/8/16 08:54,22323,22338,22323,22327,205
2024/8/16 08:55,22326,22337,22326,22331,142
2024/8/16 08:56,22331,22345,22321,22340,250
2024/8/16 08:57,22340,22351,22340,22346,198
2024/8/16 08:58,22345,22385,22344,22376,674
2024/8/16 08:59,22376,22380,22363,22363,281
2024/8/16 09:00,22363,22374,22355,22366,224
2024/8/16 09:01,22366,22366,22341,22351,724
2024/8/16 09:02,22350,22358,22325,22346,711
2024/8/16 09:03,22346,22368,22329,22341,694
2024/8/16 09:04,22340,22348,22315,22319,607
2024/8/16 09:05,22319,22335,22319,22330,286
2024/8/16 09:06,22328,22331,22278,22285,1442
2024/8/16 09:07,22285,22306,22280,22289,925
2024/8/16 09:08,22289,22299,22277,22297,589
2024/8/16 09:09,22295,22318,22293,22313,648
2024/8/16 09:10,22314,22335,22305,22317,762
2024/8/16 09:11,22316,22346,22309,22340,559
2024/8/16 09:12,22343,22345,22324,22324,381
2024/8/16 09:13,22325,22330,22308,22329,464
2024/8/16 09:14,22328,22343,22317,22319,431
2024/8/16 09:15,22319,22338,22314,22332,378
2024/8/16 09:16,22333,22356,22328,22340,591
2024/8/16 09:17,22339,22349,22326,22333,251
2024/8/16 09:18,22333,22351,22318,22351,369
2024/8/16 09:19,22350,22364,22335,22355,634
2024/8/16 09:20,22355,22370,22353,22366,398
2024/8/16 09:21,22367,22368,22346,22356,277
2024/8/16 09:22,22358,22394,22355,22392,1406
2024/8/16 09:23,22391,22395,22377,22385,601
2024/8/16 09:24,22384,22393,22374,22380,366
2024/8/16 09:25,22377,22389,22371,22381,372
2024/8/16 09:26,22383,22388,22370,22375,375
2024/8/16 09:27,22375,22384,22363,22384,416
2024/8/16 09:28,22382,22399,22382,22392,559
2024/8/16 09:29,22394,22395,22382,22393,205
2024/8/16 09:30,22391,22396,22383,22387,233
2024/8/16 09:31,22385,22420,22381,22413,1183
2024/8/16 09:32,22414,22419,22408,22408,371
2024/8/16 09:33,22408,22416,22392,22398,439
2024/8/16 09:34,22399,22417,22393,22416,338
2024/8/16 09:35,22415,22426,22409,22419,556
2024/8/16 09:36,22418,22423,22405,22406,362
2024/8/16 09:37,22409,22415,22398,22407,350
2024/8/16 09:38,22407,22414,22393,22399,329
2024/8/16 09:39,22400,22430,22400,22424,580
2024/8/16 09:40,22426,22435,22409,22410,404
2024/8/16 09:41,22409,22442,22406,22433,605
2024/8/16 09:42,22429,22439,22428,22437,281
2024/8/16 09:43,22435,22445,22424,22444,503
2024/8/16 09:44,22441,22447,22427,22437,450
2024/8/16 09:45,22438,22441,22430,22435,263
2024/8/16 09:46,22432,22438,22417,22435,573
2024/8/16 09:47,22431,22436,22392,22396,736
2024/8/16 09:48,22396,22403,22376,22383,698
2024/8/16 09:49,22384,22388,22365,22378,663
2024/8/16 09:50,22378,22379,22350,22352,754
2024/8/16 09:51,22352,22354,22300,22309,1877
2024/8/16 09:52,22312,22325,22302,22309,668
2024/8/16 09:53,22309,22326,22308,22323,318
2024/8/16 09:54,22322,22339,22312,22334,479
2024/8/16 09:55,22335,22336,22321,22326,215
2024/8/16 09:56,22328,22339,22320,22333,433
2024/8/16 09:57,22332,22338,22285,22292,911
2024/8/16 09:58,22289,22308,22288,22301,430
2024/8/16 09:59,22298,22320,22294,22311,360
2024/8/16 10:00,22311,22324,22310,22313,235
2024/8/16 10:01,22311,22328,22304,22313,436
2024/8/16 10:02,22314,22330,22308,22324,300
2024/8/16 10:03,22324,22333,22320,22327,158
2024/8/16 10:04,22328,22336,22317,22317,210
2024/8/16 10:05,22319,22322,22300,22312,337
2024/8/16 10:06,22310,22310,22295,22301,399
2024/8/16 10:07,22302,22307,22289,22299,308
2024/8/16 10:08,22301,22324,22298,22319,297
2024/8/16 10:09,22319,22354,22319,22346,732
2024/8/16 10:10,22349,22356,22332,22333,519
2024/8/16 10:11,22334,22342,22330,22338,154
2024/8/16 10:12,22336,22337,22326,22326,192
2024/8/16 10:13,22328,22338,22325,22335,143
2024/8/16 10:14,22335,22338,22322,22336,137
2024/8/16 10:15,22337,22362,22337,22360,514
2024/8/16 10:16,22359,22369,22350,22354,507
2024/8/16 10:17,22356,22359,22351,22355,100
2024/8/16 10:18,22354,22372,22347,22368,193
2024/8/16 10:19,22370,22370,22359,22367,146
2024/8/16 10:20,22367,22396,22367,22387,889
2024/8/16 10:21,22384,22388,22374,22377,245
2024/8/16 10:22,22377,22380,22365,22371,188
2024/8/16 10:23,22372,22373,22364,22371,106
2024/8/16 10:24,22370,22377,22364,22369,148
2024/8/16 10:25,22368,22368,22358,22366,148
2024/8/16 10:26,22364,22380,22362,22378,113
2024/8/16 10:27,22378,22378,22356,22362,159
2024/8/16 10:28,22361,22365,22350,22358,237
2024/8/16 10:29,22359,22365,22352,22362,116
2024/8/16 10:30,22361,22364,22341,22350,185
2024/8/16 10:31,22353,22355,22340,22351,158
2024/8/16 10:32,22351,22355,22336,22344,168
2024/8/16 10:33,22346,22357,22342,22346,170
2024/8/16 10:34,22347,22347,22334,22340,216
2024/8/16 10:35,22342,22346,22338,22341,90
